name,id
Bengo,1
Benguela,2
Bié,3
Cabinda,4
Cuando Cubango,5
Cuanza Norte,6
Cuanza Sul,7
Cunene,8
Huambo,9
Huíla,10
Luanda,11
Lunda Norte,12
Lunda Sul,13
Malanje,14
Moxico,15
Namibe,16
Uíge,17
Zaire,18
